name,booth,homepage,categories,overview,partner_url
1km à Pied,hall1 Booth J37-001,https://www.1kmapied.com/,"HR & Future of Work, GovTech & Public sector, Mobility & Smart Cities","We help multi-site organizations reduce their field employees' commute distances by enabling job swaps and internal mobility to closer sites. Our clients (La Poste, SNCF, Lidl, Auchan, Korian...) cut CO2 emissions, employee fatigue, and absenteeism.",https://vivatechnology.com/partners/1km-a-pied
3DVarius,hall1 Booth H22-022,https://www.3d-varius.com/,"Artificial Intelligence, Entertainment, Media & Creators Economy, Retail & E-commerce",,https://vivatechnology.com/partners/3dvarius
Absolute Labs,hall1 Booth F28-002,https://absolutelabs.io/,"Retail & E-commerce, Luxury, Fashion & Cosmetics, Fintech, Banking & Crypto",Absolute Labs is an AI-powered Web3 driven customer engagement platform that enables brands to unlock incremental revenue streams from crypto-savvy consumers.,https://vivatechnology.com/partners/absolute-labs
Absys Cyborg,hall1 Booth M18-001,https://www.absyscyborg.com/en,"Artificial Intelligence, Consulting & B2B services, Data Management & CRM","Absys Cyborg advises companies in all sectors on choosing, deploying and integrating solutions for management, ERP, CRM, Reporting, Business Intelligence and Cloud.",https://vivatechnology.com/partners/absys-cyborg
Abyssale,hall1 Booth K28-005,https://www.abyssale.com,"Marketing & Advertising, Artificial Intelligence, Consulting & B2B services","Abyssale is an AI-powered platform that helps Agencies and Marketers generate banners and visuals at scale for ads, emails, print campaigns and social media. We automate creative production to save time and boost performance.",https://vivatechnology.com/partners/abyssale
ADCIS - Groupe Evolucare,hall1 Booth D53-003,,"Artificial Intelligence, Healthcare & Wellness, Industry & Supply Chain","ADCIS - Groupe Evolucare specializes in computer vision, developing innovative image analysis and processing solutions since 2000.",https://vivatechnology.com/partners/adcis-groupe-evolucare
Adin AI,hall1 Booth C10-008,https://www.adin.ai,"Fintech, Banking & Crypto, Luxury, Fashion & Cosmetics, Retail & E-commerce","ADIN.AI is an AI-native, holistic media planning & execution platform built for enterprises to take full control of their advertising efforts & investments. Advertisers can eliminate inefficiencies, increasing transparency, and maximizing ROI.",https://vivatechnology.com/partners/adin-ai
Afflo Transplant Management,hall1 Booth K40-004,https://www.afflo.io/,"Cloud & Infrastructure, Healthcare & Wellness",,https://vivatechnology.com/partners/afflo-transplant-management
Africharger,hall1 Booth L29-014,https://africharger.com,Mobility & Smart Cities,AFRICHARGER is a pioneering Ivorian company deploying electric vehicle charging infrastructure and battery swapping stations to accelerate green mobility across West Africa.,https://vivatechnology.com/partners/africharger
AG Partners,hall1 Booth N40,https://www.ag-partners.com/RWD/fr/groupe.php,"Artificial Intelligence, Consulting & B2B services, Marketing & Advertising, GovTech & Public sector, Diversity & Inclusion, Entertainment, Media & Creators Economy","AG PARTNERS PUBLICIS AFRICA is a 360° strategic communications agency with a Pan-African vision. We support brands, institutions, and organizations in designing and deploying tailored strategies that blend cultural insight, creativity, and impact. From brand positioning and digital activation to public affairs and media relations, our integrated approach ensures coherence and relevance across all touchpoints.",https://vivatechnology.com/partners/ag-partners
Agence Universitaire Innovation,hall1 Booth G12-016,https://www.aui-techno.africa,"Artificial Intelligence, Retail & E-commerce, Healthcare & Wellness","AUI TECHNO designs solar-powered, connected incubators tailored for Africa. Over 200 units are already operating in 7 countries, saving 3,000+ lives. Our goal: deploy 600,000 units to protect every newborn across the continent.",https://vivatechnology.com/partners/agence-universitaire-innovation
